Experiment_name,embedding.conv1.weight,encoder.0.attention.queries.weight,encoder.0.attention.keys.weight,encoder.0.attention.values.weight,encoder.0.fc1.weight,encoder.0.fc2.weight,encoder.0.norm1.weight,encoder.0.norm2.weight,encoder.1.attention.queries.weight,encoder.1.attention.keys.weight,encoder.1.attention.values.weight,encoder.1.fc1.weight,encoder.1.fc2.weight,encoder.1.norm1.weight,encoder.1.norm2.weight,encoder.2.attention.queries.weight,encoder.2.attention.keys.weight,encoder.2.attention.values.weight,encoder.2.fc1.weight,encoder.2.fc2.weight,encoder.2.norm1.weight,encoder.2.norm2.weight,encoder.3.attention.queries.weight,encoder.3.attention.keys.weight,encoder.3.attention.values.weight,encoder.3.fc1.weight,encoder.3.fc2.weight,encoder.3.norm1.weight,encoder.3.norm2.weight,encoder.4.weight,norm.weight,classifier.fc1.weight,classifier.fc2.weight
Vanilla,0.0003692878526635,-0.0003339105751365,0.0014596078544855,-0.0002993837115354,0.0002225197385996,-0.001816320233047,0.930937647819519,1.048011064529419,0.0005625202320516,0.0010142207611352,-0.0010800160234794,-0.0013768874341621,0.000126823579194,0.943314790725708,1.0445622205734253,0.0003685246338136,0.001224766834639,0.000602469779551,-0.0001687551994109,-1.3607210348709486e-05,0.9581648707389832,1.0656741857528689,-0.0028870645910501,-0.0020583495497703,0.0007148264558054,-0.0002197313006035,0.0002907239540945,0.9711459875106812,1.1248633861541748,0.9855271577835084,1.0745337009429932,0.0010395151330158,0.0050086472183465
Gaussian_enc12,0.0003323788405396,0.0008251456310972,0.0021651796996593,0.0021509754005819,0.0002267471572849,0.001168317743577,0.9261921048164368,1.0070587396621704,-0.0007767087663523,-0.0011139548150822,-0.0001352296967525,0.0008667559595778,-0.0007761324523016,0.8955953121185303,1.0173931121826172,0.0002661498438101,0.0015141989570111,0.0001733161334414,-0.0010210648179054,-2.0651468730648048e-05,0.9084494709968568,1.039664626121521,0.0004152047040406,5.911072003073059e-05,-0.0004097977071069,0.0011812152806669,0.0007051377324387,0.9395474195480348,1.0959489345550537,0.9896536469459534,1.06195068359375,-0.0013909605331718,0.0029583945870399
Conv_enc64,-3.307430597487837e-05,0.001379334484227,0.0024815869983285,0.0017230570083484,0.0004251050413586,-0.0003210727300029,0.9021711349487304,0.9808644652366638,-0.0007490859716199,0.000778580957558,0.0003234274045098,-0.0004687496111728,-0.0003976513980887,0.910727858543396,1.0102593898773191,0.0031996362376958,-0.0004216632514726,-8.629315561847761e-05,-0.0010790189262479,-0.0005742981447838,0.9358576536178588,1.0288162231445312,-0.0001576426293468,0.0001953633618541,0.0007046757964417,-0.0007722089067101,0.0003491290553938,0.9707428812980652,1.074794054031372,0.9903222918510436,1.0598134994506836,-0.0014882581308484,0.0048223151825368
LIF,-0.0025380356237292,-0.0018102052854374,0.0010017375461757,-0.0003934911510441,-0.0016308011254295,-0.0008146266336552,0.9229781031608582,1.0506612062454224,0.0005996081745252,-0.0009681776282377,0.001696189166978,0.0002236997388536,0.0003755032957997,0.9234368801116944,1.0659950971603394,0.001548332395032,0.0016220012912526,0.0014891613973304,0.0002497343230061,0.0002361054066568,0.9557439088821412,1.0787781476974487,-8.927503949962556e-05,-0.0014337548054754,-0.000138499046443,0.0008525664452463,-0.0007294897222891,0.979011297225952,1.1592508554458618,0.9871978759765624,1.0666261911392212,-0.0004765631747432,0.0026052331086248
IF,-0.0058051254600286,0.0002700050536077,-0.0013717607362195,-0.0020147818140685,0.0010725682368502,-0.0004732029046863,0.9294544458389282,1.012143850326538,0.000309519295115,0.0002638479636516,0.0004372260882519,-0.0009422191651538,-0.0007542900275439,0.9412944316864014,1.0161018371582031,-0.0004977780627086,-0.0013980882940813,-0.0003044977493118,-0.0012930138036608,-0.0016394506674259,0.956521213054657,1.0399173498153689,0.000933565897867,0.0001236950047314,0.0003023019817192,-0.0003146832168567,-0.0005865659913979,0.9924843311309814,1.075204849243164,0.9858514070510864,0.9539734721183776,0.0001772615651134,0.002911924617365
KLIF,0.0038037097547203302,-0.0005831017042510211,0.0005120637360960245,0.0018270169384777546,0.0008268710225820541,-8.95337070687674e-05,0.9443038105964661,1.0390664339065552,-0.00041136701474897563,2.617004793137312e-05,-0.002491940278559923,-0.0020233800169080496,-9.602064528735355e-05,0.9233137369155884,1.0392147302627563,-0.0015077843563631177,0.001332059851847589,0.00013574553304351866,-0.0019978994969278574,0.00030292346491478384,0.9516362547874451,1.0555340051651,5.9620604588417336e-05,0.0004078096244484186,-0.002885475754737854,0.00042334021418355405,0.00039753608871251345,0.9765838384628296,1.0813382863998413,0.9935537576675415,1.0218597650527954,-0.00024548900546506047,0.0029020074289292097
Sigmoid,0.0069602411240339,-0.0014574294909834,0.0015381996054202,0.0004755677073262,-0.0007391179096885,-0.0001813929993659,0.9226695895195008,1.056412935256958,-0.0009950797539204,0.0026131912600249,-0.0003280974051449,2.803969800879713e-05,0.0003149835683871,0.9336134791374208,1.0511902570724487,0.0007172663463279,-0.0013028518296778,0.0012868863996118,0.0014076943043619,-0.0001476178586017,0.9478517770767212,1.0647743940353394,0.0036899466067552,-0.0003866824263241,-0.0002630855597089,0.0026956221554428,0.0044230339117348,0.979974925518036,1.1148675680160522,0.988027274608612,1.0650714635849,0.00053500267677,0.0048350002616643
SoftSign,-0.0052057681605219,0.0011753833387047,9.60469915298745e-05,-0.0038676261901855,-0.0018398677930235,-0.0002661443140823,0.9244229197502136,1.0261341333389282,0.0006967756198719,0.0005313532310537,-0.001032612635754,-0.0003862612647935,0.000161223928444,0.9444776177406312,1.0303571224212646,-0.000554752536118,-0.000880837382283,-0.0031634261831641,0.0021040388382971,0.0002699980395846,0.9462581872940063,1.0379735231399536,0.0007891751592978,-0.0025742996949702,0.0033968368079513,-0.0013754297979176,0.0004925496759824,0.9911372065544128,1.097388505935669,0.9896991848945618,1.0677675008773804,-0.000255817285506,0.0022109767887741
S2NN,-0.0065698665566742,-0.0037944610230624,0.0011340999044477,-0.0014220734592527,0.0005434921476989,-0.0001115607738029,0.9135973453521729,1.0750508308410645,-0.0028732675127685,0.0003676881024148,0.0001530360314063,-0.0007962334202602,-0.0006108421948738,0.9441765546798706,1.0498615503311155,0.0003141489869449,-0.001045168377459,0.0011975262314081,0.0001198420286527,-0.0001468669361202,0.953989028930664,1.0660520792007446,0.0009560939506627,-0.001162476488389,0.0017244422342628,-0.0012210287386551,0.0003743892302736,0.980235517024994,1.0953879356384275,0.990475058555603,1.0716946125030518,-0.0017731952248141,0.0033628419041633
latency_enc,-0.0025840818416327,0.0008250531973317,0.00089438771829,-0.0007427925593219,0.0019338340498507,8.431739115621895e-05,0.9138583540916444,1.0632301568984983,-0.0021136112045496,-0.0007879452314227,0.0003727700386662,-0.0006487648934125,7.002081838436425e-05,0.914343535900116,1.100923776626587,0.0008128716726787,-0.0005915600340813,-3.451988231972791e-05,0.0003217482881154,0.0001027474572765,0.9435425996780396,1.1382025480270386,-0.0006882039597257,-0.0017199942376464,0.0010125841945409,-0.0016152943717315,0.0009600330959074,0.9843055605888368,1.2087963819503784,0.9319226741790771,1.4683958292007446,-0.0066411225125193,0.0018817126983776
